service_id,date,exception_type
000090,20160906,1
000090,20160907,1
000090,20160905,1
000090,20160902,1
000090,20160725,1
000090,20160901,1
000090,20160422,1
000090,20161118,1
000090,20161025,1
000090,20160908,1
000090,20160909,1
000090,20160308,1
000090,20160309,1
000090,20161019,1
000090,20161018,1
000090,20160304,1
000090,20160305,1
000090,20161015,1
000090,20160307,1
000090,20161013,1
000090,20160301,1
000090,20160302,1
000090,20160303,1
000090,20160919,1
000090,20160722,1
000090,20161112,1
000090,20160425,1
000090,20161209,1
000090,20161206,1
000090,20161201,1
000090,20160130,1
000090,20161202,1
000090,20160603,1
000090,20160820,1
000090,20160708,1
000090,20160709,1
000090,20160830,1
000090,20160831,1
000090,20151230,1
000090,20151231,1
000090,20160701,1
000090,20160702,1
000090,20160704,1
000090,20160705,1
000090,20160706,1
000090,20160707,1
000090,20161210,1
000090,20160606,1
000090,20160404,1
000090,20161022,1
000090,20161020,1
000090,20161021,1
000090,20161026,1
000090,20161027,1
000090,20160319,1
000090,20160318,1
000090,20160317,1
000090,20160316,1
000090,20160315,1
000090,20160314,1
000090,20160312,1
000090,20160311,1
000090,20160310,1
000090,20161211,1
000090,20160411,1
000090,20160412,1
000090,20160413,1
000090,20160414,1
000090,20160415,1
000090,20160108,1
000090,20160109,1
000090,20160106,1
000090,20160107,1
000090,20160104,1
000090,20160105,1
000090,20160819,1
000090,20160825,1
000090,20160418,1
000090,20160719,1
000090,20151224,1
000090,20151223,1
000090,20151222,1
000090,20151221,1
000090,20160419,1
000090,20160713,1
000090,20160712,1
000090,20160711,1
000090,20160916,1
000090,20160829,1
000090,20160716,1
000090,20151229,1
000090,20151228,1
000090,20160910,1
000090,20161114,1
000090,20161010,1
000090,20161115,1
000090,20161107,1
000090,20160322,1
000090,20160323,1
000090,20160321,1
000090,20160326,1
000090,20160324,1
000090,20160420,1
000090,20160329,1
000090,20161130,1
000090,20160416,1
000090,20161119,1
000090,20160111,1
000090,20160402,1
000090,20151218,1
000090,20151219,1
000090,20160115,1
000090,20160114,1
000090,20160405,1
000090,20160116,1
000090,20160119,1
000090,20160118,1
000090,20160409,1
000090,20160408,1
000090,20151216,1
000090,20151217,1
000090,20151214,1
000090,20151215,1
000090,20160524,1
000090,20160525,1
000090,20160526,1
000090,20160527,1
000090,20160520,1
000090,20160521,1
000090,20160728,1
000090,20160523,1
000090,20160726,1
000090,20160727,1
000090,20160913,1
000090,20160426,1
000090,20160528,1
000090,20160723,1
000090,20160720,1
000090,20160721,1
000090,20160823,1
000090,20161101,1
000090,20160822,1
000090,20161029,1
000090,20160331,1
000090,20160330,1
000090,20161129,1
000090,20161128,1
000090,20161126,1
000090,20161125,1
000090,20161124,1
000090,20161123,1
000090,20161122,1
000090,20161003,1
000090,20161208,1
000090,20160430,1
000090,20160903,1
000090,20161024,1
000090,20161111,1
000090,20160730,1
000090,20160715,1
000090,20160531,1
000090,20160530,1
000090,20160630,1
000090,20160714,1
000090,20161205,1
000090,20161203,1
000090,20160429,1
000090,20160428,1
000090,20161110,1
000090,20160923,1
000090,20161116,1
000090,20161117,1
000090,20160229,1
000090,20160824,1
000090,20160227,1
000090,20160226,1
000090,20160225,1
000090,20160224,1
000090,20160223,1
000090,20160222,1
000090,20160427,1
000090,20160220,1
000090,20161102,1
000090,20160509,1
000090,20160502,1
000090,20160503,1
000090,20160506,1
000090,20160507,1
000090,20160504,1
000090,20160629,1
000090,20160628,1
000090,20161121,1
000090,20160623,1
000090,20160622,1
000090,20160621,1
000090,20160620,1
000090,20160627,1
000090,20160625,1
000090,20160624,1
000090,20161014,1
000090,20161028,1
000090,20160917,1
000090,20160915,1
000090,20160212,1
000090,20160213,1
000090,20160210,1
000090,20160211,1
000090,20160216,1
000090,20160217,1
000090,20161103,1
000090,20160215,1
000090,20160218,1
000090,20160219,1
000090,20161109,1
000090,20161108,1
000090,20160519,1
000090,20160518,1
000090,20160514,1
000090,20160517,1
000090,20160511,1
000090,20160510,1
000090,20160513,1
000090,20160512,1
000090,20161005,1
000090,20161207,1
000090,20160618,1
000090,20160616,1
000090,20160617,1
000090,20160614,1
000090,20160615,1
000090,20161012,1
000090,20160613,1
000090,20160610,1
000090,20160611,1
000090,20160920,1
000090,20160921,1
000090,20160922,1
000090,20160718,1
000090,20160924,1
000090,20160912,1
000090,20160926,1
000090,20160927,1
000090,20160928,1
000090,20160929,1
000090,20161105,1
000090,20160729,1
000090,20160205,1
000090,20160204,1
000090,20161031,1
000090,20160206,1
000090,20160201,1
000090,20160203,1
000090,20160202,1
000090,20161011,1
000090,20160209,1
000090,20160208,1
000090,20160914,1
000090,20161017,1
000090,20160421,1
000090,20160601,1
000090,20160423,1
000090,20160602,1
000090,20160818,1
000090,20160604,1
000090,20160607,1
000090,20160401,1
000090,20160609,1
000090,20160608,1
000090,20160816,1
000090,20160817,1
000090,20160810,1
000090,20160811,1
000090,20160812,1
000090,20160813,1
000090,20160930,1
000090,20160113,1
000090,20160112,1
000090,20161008,1
000090,20160827,1
000090,20161004,1
000090,20160407,1
000090,20161006,1
000090,20161007,1
000090,20161001,1
000090,20160406,1
000090,20160128,1
000090,20160129,1
000090,20161212,1
000090,20161104,1
000090,20160120,1
000090,20160121,1
000090,20160122,1
000090,20160123,1
000090,20160125,1
000090,20160126,1
000090,20160127,1
000090,20160815,1
000090,20160826,1
000090,20160809,1
000090,20160808,1
000090,20160806,1
000090,20160805,1
000090,20160804,1
000090,20160803,1
000090,20160802,1
92543:1:s,20151230,1
92543:1:s,20151231,1
92543:1:s,20160108,1
92543:1:s,20160109,1
92543:1:s,20160106,1
92543:1:s,20160107,1
92543:1:s,20160104,1
92543:1:s,20160105,1
92543:1:s,20160102,1
92543:1:s,20160103,1
92543:1:s,20160101,1
92543:1:s,20160719,1
92543:1:s,20160718,1
92543:1:s,20160713,1
92543:1:s,20160712,1
92543:1:s,20160711,1
92543:1:s,20160710,1
92543:1:s,20160717,1
92543:1:s,20160716,1
92543:1:s,20160715,1
92543:1:s,20160714,1
92543:1:s,20160322,1
92543:1:s,20160323,1
92543:1:s,20160320,1
92543:1:s,20160321,1
92543:1:s,20160326,1
92543:1:s,20160327,1
92543:1:s,20160324,1
92543:1:s,20160325,1
92543:1:s,20160328,1
92543:1:s,20160329,1
92543:1:s,20161129,1
92543:1:s,20161128,1
92543:1:s,20161127,1
92543:1:s,20161126,1
92543:1:s,20161125,1
92543:1:s,20161124,1
92543:1:s,20161123,1
92543:1:s,20161122,1
92543:1:s,20161121,1
92543:1:s,20161120,1
92543:1:s,20160430,1
92543:1:s,20160508,1
92543:1:s,20160509,1
92543:1:s,20160502,1
92543:1:s,20160503,1
92543:1:s,20160501,1
92543:1:s,20160506,1
92543:1:s,20160507,1
92543:1:s,20160504,1
92543:1:s,20160505,1
92543:1:s,20160618,1
92543:1:s,20160619,1
92543:1:s,20160617,1
92543:1:s,20160614,1
92543:1:s,20160615,1
92543:1:s,20160612,1
92543:1:s,20160613,1
92543:1:s,20160610,1
92543:1:s,20160611,1
92543:1:s,20160205,1
92543:1:s,20160204,1
92543:1:s,20160207,1
92543:1:s,20160206,1
92543:1:s,20160201,1
92543:1:s,20160203,1
92543:1:s,20160202,1
92543:1:s,20160209,1
92543:1:s,20160208,1
92543:1:s,20160930,1
92543:1:s,20160809,1
92543:1:s,20160808,1
92543:1:s,20160807,1
92543:1:s,20160806,1
92543:1:s,20160805,1
92543:1:s,20160804,1
92543:1:s,20160803,1
92543:1:s,20160802,1
92543:1:s,20160801,1
92543:1:s,20161019,1
92543:1:s,20161018,1
92543:1:s,20161017,1
92543:1:s,20161016,1
92543:1:s,20161015,1
92543:1:s,20161014,1
92543:1:s,20161013,1
92543:1:s,20161012,1
92543:1:s,20161011,1
92543:1:s,20161010,1
92543:1:s,20160429,1
92543:1:s,20160428,1
92543:1:s,20151227,1
92543:1:s,20151226,1
92543:1:s,20151225,1
92543:1:s,20151224,1
92543:1:s,20151223,1
92543:1:s,20151222,1
92543:1:s,20151221,1
92543:1:s,20151220,1
92543:1:s,20151229,1
92543:1:s,20151228,1
92543:1:s,20160423,1
92543:1:s,20160111,1
92543:1:s,20160110,1
92543:1:s,20160113,1
92543:1:s,20160112,1
92543:1:s,20160115,1
92543:1:s,20160114,1
92543:1:s,20160117,1
92543:1:s,20160116,1
92543:1:s,20160119,1
92543:1:s,20160118,1
92543:1:s,20160728,1
92543:1:s,20160729,1
92543:1:s,20160726,1
